state,Date,Total Confirmed cases,,,
Kerala,30-01-2020,1,,,
Kerala,31-01-2020,1,,,
Kerala,01-02-2020,2,,,
Kerala,02-02-2020,3,,,
Kerala,03-02-2020,3,,,
Kerala,04-02-2020,3,,,
Kerala,05-02-2020,3,,,
Kerala,06-02-2020,3,,,
Kerala,07-02-2020,3,,,
Kerala,08-02-2020,3,,,
Kerala,09-02-2020,3,,,
Kerala,10-02-2020,3,,,
Kerala,11-02-2020,3,,,
Kerala,12-02-2020,3,,,
Kerala,13-02-2020,3,,,
Kerala,14-02-2020,3,,,
Kerala,15-02-2020,3,,,
Kerala,16-02-2020,3,,,
Kerala,17-02-2020,3,,,
Kerala,18-02-2020,3,,,
Kerala,19-02-2020,3,,,
Kerala,20-02-2020,3,,,
Kerala,21-02-2020,3,,,
Kerala,22-02-2020,3,,,
Kerala,23-02-2020,3,,,
Kerala,24-02-2020,3,,,
Kerala,25-02-2020,3,,,
Kerala,26-02-2020,3,,,
Kerala,27-02-2020,3,,,
Kerala,28-02-2020,3,,,
Kerala,29-02-2020,3,,,
Kerala,01-03-2020,3,,,
Delhi,02-03-2020,1,,,
Kerala,02-03-2020,3,,,
Telengana,02-03-2020,1,,,
Delhi,03-03-2020,1,,,
Kerala,03-03-2020,3,,,
Rajasthan,03-03-2020,0,,,
Telengana,03-03-2020,1,,,
Delhi,04-03-2020,1,,,
Haryana,04-03-2020,14,,,
Kerala,04-03-2020,3,,,
Rajasthan,04-03-2020,1,,,
Telengana,04-03-2020,1,,,
Uttar Pradesh,04-03-2020,6,,,
Delhi,05-03-2020,2,,,
Haryana,05-03-2020,14,,,
Kerala,05-03-2020,3,,,
Rajasthan,05-03-2020,1,,,
Telengana,05-03-2020,1,,,
Uttar Pradesh,05-03-2020,7,,,
Delhi,06-03-2020,3,,,
Haryana,06-03-2020,14,,,
Kerala,06-03-2020,3,,,
Rajasthan,06-03-2020,1,,,
Telengana,06-03-2020,1,,,
Uttar Pradesh,06-03-2020,7,,,
Delhi,07-03-2020,3,,,
Haryana,07-03-2020,14,,,
Kerala,07-03-2020,3,,,
Rajasthan,07-03-2020,1,,,
Tamil Nadu,07-03-2020,1,,,
Telengana,07-03-2020,1,,,
Union Territory of Ladakh,07-03-2020,2,,,
Uttar Pradesh,07-03-2020,7,,,
Delhi,08-03-2020,3,,,
Haryana,08-03-2020,14,,,
Kerala,08-03-2020,8,,,
Rajasthan,08-03-2020,1,,,
Tamil Nadu,08-03-2020,1,,,
Telengana,08-03-2020,1,,,
Union Territory of Ladakh,08-03-2020,2,,,
Uttar Pradesh,08-03-2020,7,,,
Delhi,09-03-2020,4,,,
Haryana,09-03-2020,14,,,
Karnataka,09-03-2020,1,,,
Kerala,09-03-2020,9,,,
Maharashtra,09-03-2020,2,,,
Punjab,09-03-2020,1,,,
Rajasthan,09-03-2020,1,,,
Tamil Nadu,09-03-2020,1,,,
Telengana,09-03-2020,1,,,
Union Territory of Jammu and Kashmir,09-03-2020,1,,,
Union Territory of Ladakh,09-03-2020,2,,,
Uttar Pradesh,09-03-2020,7,,,
Delhi,10-03-2020,4,,,
Haryana,10-03-2020,14,,,
Karnataka,10-03-2020,4,,,
Kerala,10-03-2020,15,,,
Maharashtra,10-03-2020,5,,,
Punjab,10-03-2020,1,,,
Rajasthan,10-03-2020,1,,,
Tamil Nadu,10-03-2020,1,,,
Telengana,10-03-2020,1,,,
Union Territory of Jammu and Kashmir,10-03-2020,1,,,
Union Territory of Ladakh,10-03-2020,2,,,
Uttar Pradesh,10-03-2020,7,,,
Delhi,11-03-2020,5,,,
Haryana,11-03-2020,14,,,
Karnataka,11-03-2020,4,,,
Kerala,11-03-2020,17,,,
Maharashtra,11-03-2020,10,,,
Punjab,11-03-2020,1,,,
Rajasthan,11-03-2020,3,,,
Tamil Nadu,11-03-2020,1,,,
Telengana,11-03-2020,1,,,
Union Territory of Jammu and Kashmir,11-03-2020,1,,,
Union Territory of Ladakh,11-03-2020,2,,,
Uttar Pradesh,11-03-2020,9,,,
Andhra Pradesh,12-03-2020,1,,,
Delhi,12-03-2020,6,,,
Haryana,12-03-2020,14,,,
Karnataka,12-03-2020,4,,,
Kerala,12-03-2020,17,,,
Maharashtra,12-03-2020,11,,,
Punjab,12-03-2020,1,,,
